,Beer_name,ID_Nr,Price_SEK,Bottle,Volume_ml,Alcohol_content,Bitterness,Fullness,Sweetness,Kind,Color,Producer,Info,Link,APK,SEK_p_l
77,Carlsberg Sort Guld,1420,14.9,True,330,0.055,5,5,1,Internationell stil,Gul färg. ,Carlsberg Danmark ,"Maltig smak med inslag av knäckebröd, mandarin, honung och timjan. Serveras vid 8-10°C till rätter av fisk och ljust kött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-sort-guld-142003,1.218,45.2
78,Carlsberg Sort Guld,1291,16.9,False,500,0.055,5,5,1,Internationell stil,Gul färg. ,Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, mandarin, honung och timjan. Serveras vid 8-10°C till rätter av fisk och ljust kött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/carlsberg-sort-guld-129112,1.627,33.8
79,Carnegie,1497,17.9,True,330,0.055,7,7,2,Torr porter och stout,"Mörk, brun färg. ",Carlsberg Sverige AB ,"Nyanserad, maltig, något rostad smak med inslag av kavring, mörk choklad, farinsocker, kaffe och nötter. Serveras vid 10-12°C till rätter av fläsk- eller lammkött, som sällskapsdryck eller till lagrade hårdostar.",https://www.systembolaget.se//dryck/ol/carnegie-149703,1.014,54.2
80,Celia,1581,17.9,True,330,0.045,5,5,2,Pilsner - tjeckisk stil,Gul färg. ,Zatecky Pivovar ,"Maltig smak med inslag av aprikos, ljus sirap, apelsin och kryddor. Serveras vid 8-10°C till rätter av ljust kött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/celia-158103,0.83,54.2
81,Cerveza,1619,13.9,True,330,0.048,4,4,1,Internationell stil,Gul färg. ,Cervezas Victoria ,"Brödig smak med inslag av ljust bröd, apelsinskal och jasminris. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk eller skaldjur.",https://www.systembolaget.se//dryck/ol/cerveza-161903,1.14,42.1
82,Chimay blå,1651,33.9,True,330,0.09,6,9,5,Belgisk mörk ale,"Oklar, mörk, brun färg. ",Chimay ,"Nyanserad smak med sötma inslag av torkad frukt, kavring, muscovadosocker, pomerans och kakao. Serveras vid cirka 14°C som sällskapsdryck eller till rätter av mörkt kött, eller till halvhårda, milda ostar.",https://www.systembolaget.se//dryck/ol/chimay-bla-165103,0.876,102.7
83,Cirrus,1361,13.9,True,330,0.051,5,5,1,Modern stil,"Något oklar, gul färg. ",Brutal Brewing ,"Brödig smak med inslag av halm, honung, apelsin och kryddor. Serveras vid 8-10°C till rätter av fisk, ljust kött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/cirrus-136103,1.211,42.1
84,Cisk Export,1112,17.9,True,500,0.05,5,5,1,Internationell stil,Gyllengul färg. ,Farsons Brewery ,"Maltig smak med inslag av knäckebröd, citrus och örter. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fisk och ljust kött.",https://www.systembolaget.se//dryck/ol/cisk-export-111201,1.397,35.8
85,Collective Arts,1238,30.9,False,355,0.085,9,8,3,Imperial/Dubbel IPA,"Något oklar, mörk, gul färg. ",Collective Arts Brewing Limited ,"Nyanserad, humlearomatisk smak med tydlig beska och liten sötma, inslag av mango, passionsfrukt, tallkåda, torkad ananas och grapefrukt. Serveras vid 10-12°C till rätter av lamm- eller nötkött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/collective-arts-123815,0.977,87.0
86,Collective Arts,12319,30.9,False,473,0.055,6,8,2,Torr porter och stout,Brunsvart färg. ,Collective Arts Brewing Limited ,"Maltig, rostad, nyanserad smak med inslag av kavring, katrinplommon, tobak, kakao, apelsinskal och kaffe. Serveras vid 12-14°C som sällskapsdryck eller till rätter av mörkt kött.",https://www.systembolaget.se//dryck/ol/collective-arts-1231914,0.842,65.3
87,Coppersmith's,1694,20.0,True,330,0.05,6,6,1,Pilsner - tysk stil,Gul färg. ,Coppersmith's ,"Maltig smak med inslag av ljust bröd, honung, persika, örter och apelsinskal. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/coppersmiths-169403,0.825,60.6
88,Corona Extra,1598,18.5,True,355,0.045,3,3,1,Internationell stil,"Ljus, gul färg. ",Modelo ,Brödig smak med inslag av citrus och örter. Serveras vid 8-10°C som sällskapsdryck eller till kryddstarka rätter.,https://www.systembolaget.se//dryck/ol/corona-extra-159803,0.864,52.1
89,Crocodile Glutenfri,1551,12.9,True,330,0.052000000000000005,3,4,1,Internationell stil,Gul färg. ,Krönleins ,"Brödig smak med inslag av aprikos, citrus och ljust bröd. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk eller skaldjur.",https://www.systembolaget.se//dryck/ol/crocodile-glutenfri-155103,1.33,39.1
90,Crocodile Lager,1429,12.9,False,500,0.052000000000000005,5,5,1,Internationell stil,Ljusgul färg. ,Krönleins ,Brödig smak med inslag av citrus och örter. Serveras vid 6-8°C som sällskapsdryck.,https://www.systembolaget.se//dryck/ol/crocodile-lager-142912,2.016,25.8
91,Cuvée des Jacobins,10686,33.9,True,330,0.055,2,6,2,Flamländsk röd och brun öl,Rödbrun färg. ,Brouwerij Omer Vander Ghinste ,"Nyanserad, mycket syrlig smak, inslag av fat, pomerans, körsbär, aprikos, knäck och russin. Serveras vid 4-6°C som aperitif eller sällskapsdryck.",https://www.systembolaget.se//dryck/ol/cuvee-des-jacobins-1068603,0.535,102.7
92,DAB,1670,14.9,False,500,0.05,5,5,2,Dortmunder och helles,Gul färg. ,Dortmunder Actien-Brauerei ,"Maltig smak med inslag av knäckebröd, ljus sirap, lime och honung. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/dab-167012,1.678,29.8
93,DAB,1357,10.9,False,330,0.05,5,5,2,Dortmunder och helles,Gul färg. ,Radeberger Gruppe KG ,"Maltig smak med inslag av knäckebröd, ljus sirap, lime och honung. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/dab-135715,1.514,33.0
94,Dalabryggeri,89655,16.9,True,330,0.052000000000000005,7,5,2,Övrigt,Gul färg. ,DalaBryggeri ,"Maltig smak med tydlig beska, inslag av knäckebröd och apelsinskal. Serveras vid 8-10°C till rätter av ljust kött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/dalabryggeri-8965503,1.015,51.2
95,Dale's Pale Ale,1502,26.9,False,355,0.065,8,6,3,Amerikansk pale ale (APA),"Ljus, gulbrun färg. ",Oskar Blues Brewery ,"Nyanserad, humlearomatisk smak med tydlig beska och liten sötma, inslag av aprikos, rågbröd, knäck och grapefrukt. Serveras vid 10-12°C som sällskapsdryck eller till smakrika rätter av lamm- eller nötkött.",https://www.systembolaget.se//dryck/ol/dales-pale-ale-150215,0.858,75.8
96,Dansk Fadøl,1460,10.0,False,330,0.05,5,5,1,Internationell stil,"Ljus, gul färg. ",Kopparbergs Bryggeri ,"Maltig smak med inslag av knäckebröd, honung och citrus. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/dansk-fadol-146012,1.65,30.3
97,Daura Damm,1532,17.0,True,330,0.054000000000000006,4,4,1,Internationell stil,Ljusgul färg. ,Damm ,"Maltig smak med inslag av ljust bröd, citrus, honung och örter. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/daura-damm-153203,1.048,51.5
98,Deep Roots,2599,22.9,False,355,0.052000000000000005,6,7,3,Amber ale,"Mörk, gyllengul färg. ",Three Weavers Brewing Company ,"Nyanserad, maltig smak med liten sötma, inslag av ljus sirap, aprikosmarmelad, apelsin, choklad, knäck rågbröd. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fläsk- eller lammkött.",https://www.systembolaget.se//dryck/ol/deep-roots-259915,0.806,64.5
99,Desperados,88165,18.9,True,330,0.059000000000000004,3,4,4,Övrigt,Gul färg. ,Heineken ,"Fruktig smak med sötma och tydlig karaktär av citrus, inslag av ingefära och örter. Serveras vid cirka 8°C som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/desperados-8816503,1.03,57.3
100,Dessert In A Can,82278,60.9,False,330,0.105,5,1,0,Imperial porter och stout,Brunsvart färg. ,Amundsen Bryggeri AS ,"Maltig, mycket söt smak med inslag av choklad, vanilj, smörkola och kaffe. Serveras vid 12-14°C som sällskapsdryck eller till chokladdesserter.",https://www.systembolaget.se//dryck/ol/dessert-in-a-can-8227815,0.569,184.5
101,Dugges,11535,30.0,True,330,0.045,2,4,1,Övrig syrlig öl,Röd färg. ,Dugges Bryggeri ,"Bärig, syrlig smak med inslag av svarta vinbär, hallon, örter och blodapelsin. Serveras vid 6-8°C som aperitif eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/dugges-1153503,0.495,90.9
102,Dugges,11602,40.0,True,330,0.12,6,1,7,Imperial porter och stout,Mörkbrun färg. ,Dugges Bryggeri ,"Nyanserad, rostad smak med sötma, inslag av romrussin, espressokaffe, choklad, kavring, nötter, lakrits och mörk sirap. Serveras vid 14-16°C som sällskapsdryck eller till chokladdesserter.",https://www.systembolaget.se//dryck/ol/dugges-1160203,0.99,121.2
103,Dugges,1674,25.0,True,330,0.042,9,6,1,Session IPA,Gyllengul färg. ,Dugges Bryggeri ,"Fruktig, humlearomatisk smak med tydlig beska, inslag av grapefrukt, tallbarr, honung och ananas. Serveras vid 10-12°C som sällskapsdryck eller till rätter av lamm- eller nötkött.",https://www.systembolaget.se//dryck/ol/dugges-167403,0.554,75.8
104,Dugges Stillwater Artisanal,31828,32.0,True,330,0.045,2,5,1,Övrig syrlig öl,"Något oklar, mörk, gul färg. ",Dugges Bryggeri ,"Mycket fruktig, syrlig smak med tydlig karaktär av mango, inslag av grapefrukt, jasminblommor, kex och citron. Serveras vid 6-8°C som aperitif eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/dugges-stillwater-artisanal-3182803,0.464,97.0
105,Dugges Stillwater Artisanal,31032,32.0,True,330,0.045,2,4,1,Övrig syrlig öl,"Något oklar, gul färg. ",Dugges Bryggeri ,"Fruktig, mycket syrlig smak med inslag av passionsfrukt, persika, citrus och ljust bröd. Serveras vid 4-6°C som aperitif eller sällskapsdryck.",https://www.systembolaget.se//dryck/ol/dugges-stillwater-artisanal-3103203,0.464,97.0
106,Duvel,1654,27.9,True,330,0.085,6,8,2,Belgisk ljus ale,"Något oklar, ljus, gul färg. ",Duvel Moortgat ,"Fruktig smak med inslag av vetebröd, citron, halm och honung. Serveras vid 10-12°C som sällskapsdryck, till rätter av fläsk- eller nötköt eller till hårdostar.",https://www.systembolaget.se//dryck/ol/duvel-165403,1.005,84.5
107,Düster,1624,18.0,True,330,0.055,6,6,1,Schwarzbier,Brungul färg. ,UPP Brewing ,"Maltig, nyanserad smak med inslag av rostat bröd, kakao, torkade aprikoser, mörk sirap, kryddor och tobak. Serveras vid 8-10°C till rätter av lamm- eller nötkött.",https://www.systembolaget.se//dryck/ol/duster-162403,1.008,54.5
108,Egger Original,1360,14.9,True,330,0.05,4,4,1,Dortmunder och helles,Gul färg. ,Egger Getränke GmbH & Co. OG ,"Maltig smak med inslag av ljust bröd, honung och örter. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fisk och ljust kött.",https://www.systembolaget.se//dryck/ol/egger-original-136003,1.107,45.2
109,Electric Nurse,1443,23.5,True,330,0.046,6,6,1,Amerikansk pale ale (APA),"Något oklar, mörk, gul färg. ",Dugges Bryggeri ,"Humlearomatisk smak med inslag av ananas, passionsfrukt, citrus och örter. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/electric-nurse-144303,0.646,71.2
110,Electric Nurse,31055,39.7,True,330,0.107,6,0,6,Imperial porter och stout,Mörkbrun färg. ,Dugges Bryggeri ,"Nyanserad, rostad smak med sötma, inslag av pumpernickel, katrinplommon, kokos, kaffe, choklad och farinsocker. Serveras vid cirka 10-12°C som sällskapsdryck, eller till rätter av vilt eller nötkött, eller till chokladdesserter.",https://www.systembolaget.se//dryck/ol/electric-nurse-3105503,0.889,120.3
111,Erdinger,11208,23.9,True,500,0.053,2,5,2,Hefeweizen,"Oklar, gul färg. ",Erdinger ,"Brödig, fruktig smak med inslag av citrus, aprikos, kryddor och banan. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk och ljust kött, gärna med heta och asiatiska inslag.",https://www.systembolaget.se//dryck/ol/erdinger-1120801,1.109,47.8
112,Erdinger,1505,23.0,True,500,0.053,2,4,2,Kristallweizen,Gul färg. ,Erdinger ,"Fruktig smak med inslag av aprikos, ljust bröd och honung. Serveras vid 6-8°C som sällskapsdryck, eller till kryddstarka, vegetariska rätter, eller till fisk och ljust kött.",https://www.systembolaget.se//dryck/ol/erdinger-150501,1.152,46.0
113,Eriksberg,1584,13.9,False,330,0.053,4,5,2,Dortmunder och helles,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Maltig smak med inslag av ljust bröd, honung och aprikos. Serveras vid 8-10°C till rätter av ljust kött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/eriksberg-158415,1.258,42.1
114,Eriksberg,89937,14.6,True,330,0.054000000000000006,5,6,2,Märzen och wienerstil,Gulbrun färg. ,Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, sirap, apelsin och örter. Serveras vid cirka 8°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/eriksberg-8993703,1.221,44.2
115,Eriksberg,1584,16.9,True,500,0.053,4,5,2,Dortmunder och helles,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Maltig smak med inslag av ljust bröd, honung och aprikos. Serveras vid 8-10°C till rätter av ljust kött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/eriksberg-158401,1.568,33.8
116,Eriksberg Juvelpilsner,1576,12.9,False,330,0.045,6,5,1,Pilsner - tysk stil,"Ljus, gul färg. ",Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, honung, citrus och örter. Serveras vid 8-10°C till rätter av ljust kött eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/eriksberg-juvelpilsner-157615,1.151,39.1
117,Estrella Damm,11514,17.0,True,330,0.046,3,3,1,Internationell stil,Ljusgul färg. ,Damm ,"Fruktig smak med inslag av citrus, majs och örter. Serveras vid 6-8°C som sällskapsdryck, eller till kryddstarka rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/estrella-damm-1151403,0.893,51.5
118,Ey'Bro,1432,8.9,False,330,0.05,4,4,1,Internationell stil,Gul färg. ,Åbro Bryggeri ,"Maltig smak med inslag av ljust knäckebröd, citron, örter och halm. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller skaldjur.",https://www.systembolaget.se//dryck/ol/eybro-143215,1.854,27.0
119,Fagerhult,1481,10.4,False,330,0.053,5,5,1,Dortmunder och helles,Gul färg. ,Kopparbergs Bryggeri ,"Brödig smak med inslag av knäckebröd, halm och citrus. Serveras vid cirka 8°C till husmanskost.",https://www.systembolaget.se//dryck/ol/fagerhult-148112,1.682,31.5
120,Falcon Bayerskt,1462,16.9,False,500,0.052000000000000005,4,6,2,Märzen och wienerstil,Brungul färg. ,Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, ljus sirap och apelsin. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/falcon-bayerskt-146212,1.538,33.8
121,Falcon Export,1433,14.9,False,500,0.052000000000000005,5,5,1,Internationell stil,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Brödig smak med inslag av honung, aprikos och citrus. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/falcon-export-143312,1.745,29.8
122,Falcon Export,1433,13.9,True,500,0.052000000000000005,5,5,1,Internationell stil,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Brödig smak med inslag av honung, aprikos och citrus. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/falcon-export-143301,1.871,27.8
123,Falcon Export,1433,10.9,False,330,0.052000000000000005,5,5,1,Internationell stil,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Brödig smak med inslag av honung, aprikos och citrus. Serveras vid 8-10°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/falcon-export-143315,1.574,33.0
124,Falcon Pilgrim,1013,15.9,False,500,0.045,6,6,1,Pilsner - tysk stil,"Mörk, gul färg. ",Carlsberg Sverige AB ,"Maltig smak med inslag av sirapslimpa, ananas, apelsin, örter och smörkola. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/falcon-pilgrim-101312,1.415,31.8
125,Falcon Pilgrim,1465,12.9,True,330,0.045,6,6,2,Pilsner - tysk stil,"Något oklar, mörk, gul färg. ",Carlsberg Sverige AB ,"Maltig smak med inslag av knäckebröd, örter, citrus och honung. Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/falcon-pilgrim-146503,1.151,39.1
126,Fem komma tvåan,1625,9.6,False,330,0.052000000000000005,5,5,2,Internationell stil,Gul färg. ,Åbro Bryggeri ,"Maltig smak med inslag av aprikos, ljust bröd och apelsin. Serveras vid 8-10°C till lättare husmanskost.",https://www.systembolaget.se//dryck/ol/fem-komma-tvaan-162515,1.788,29.1
127,Fem komma tvåan,1625,12.9,False,500,0.052000000000000005,5,5,2,Internationell stil,Gul färg. ,Åbro Bryggeri ,"Maltig smak med inslag av aprikos, ljust bröd och apelsin. Serveras vid 8-10°C till lättare husmanskost.",https://www.systembolaget.se//dryck/ol/fem-komma-tvaan-162512,2.016,25.8
128,Founders,88361,20.9,False,355,0.047,8,6,1,Session IPA,Gul färg. ,Founders Brewing Company ,"Humlearomatisk smak med tydlig beska, inslag av passionsfrukt, grapefruktskal och örter. Serveras vid 10-12°C som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/founders-8836115,0.798,58.9
129,Franziskaner,1687,23.6,True,500,0.05,2,5,1,Hefeweizen,"Oklar, gyllengul färg. ",Spaten-Franziskaner-Bräu ,"Kryddig smak med inslag av banan, torkade aprikoser, citrus och kryddnejlika. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk och ljust kött, gärna med heta och asiatiska inslag.",https://www.systembolaget.se//dryck/ol/franziskaner-168701,1.059,47.2
130,Früh Kölsch,1430,23.9,False,500,0.048,4,4,1,Kölsch,Gul färg. ,Cölner Hofbräu Früh ,"Maltig smak med inslag av knäckebröd, aprikos och apelsinskal. Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/fruh-kolsch-143012,1.004,47.8
131,Früh Kölsch,1367,20.0,True,330,0.048,4,4,1,Kölsch,Gul färg. ,Cölner Hofbräu Früh ,"Maltig smak med inslag av knäckebröd, aprikos och apelsinskal. Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/fruh-kolsch-136703,0.792,60.6
132,Fuller's,1642,17.9,True,330,0.047,6,7,2,Engelsk pale ale och bitter,Orangegul färg. ,Fuller Smith & Turner ,"Maltig, aningen humlearomatisk smak med inslag av torkad frukt, knäck, pomerans och rågbröd. Serveras vid 8-10°C till husmanskost.",https://www.systembolaget.se//dryck/ol/fullers-164203,0.866,54.2
133,Fuller's,1634,24.9,False,500,0.054000000000000006,6,6,1,Torr porter och stout,Brunsvart färg. ,Fuller Smith & Turner ,"Maltig, nyanserad, rostad smak med inslag av kaffe, kavring, mörk choklad och lakrits. Serveras vid 10-12°C till rätter av lamm- eller nötkött, eller till smakrika rätter med svamp.",https://www.systembolaget.se//dryck/ol/fullers-163412,1.084,49.8
134,Fuller's ESB,11405,20.9,True,330,0.059000000000000004,7,7,3,Extra special bitter,"Ljus, rödbrun färg. ",Fuller Smith & Turner ,"Fruktig, nyanserad smak med liten sötma, inslag av torkade aprikoser, knäck, vörtbröd och apelsinskal. Serveras vid 8-10°C som sällskapsdryck, eller till smakrik husmanskost.",https://www.systembolaget.se//dryck/ol/fullers-esb-1140503,0.932,63.3
135,Gambrinus,11489,17.7,True,500,0.052000000000000005,7,6,1,Pilsner - tjeckisk stil,Gyllengul färg. ,Pilsner Urquell ,"Maltig smak med inslag av knäckebröd, aprikos, örter, apelsinskal och honung. Serveras vid 8-10°C som sällskapsdryck eller till husmanskost.",https://www.systembolaget.se//dryck/ol/gambrinus-1148901,1.469,35.4
136,Gauloise Ambrée,1521,22.9,True,330,0.055,5,6,1,Belgisk ljus ale,Gulbrun färg. ,Brasserie du Bocq ,"Fruktig smak med inslag av aprikos, sirap, kryddor, skumbanan och ljust bröd. Serveras vid 8-10°C till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/gauloise-ambree-152103,0.793,69.4
137,Gotlands Bryggeri,89923,19.5,True,330,0.048,7,6,1,Engelsk pale ale och bitter,Ljusbrun färg. ,Gotlands Bryggeri ,"Humlearomatisk smak med inslag av aprikoser, sirap, apelsinskal, örter och knäckebröd. Serveras vid 10-12°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/gotlands-bryggeri-145901,0.812,59.1
138,Gotlands Bryggeri,1459,24.9,True,500,0.052000000000000005,2,3,2,Hefeweizen,"Något oklar, gul färg. ",Gotlands Bryggeri ,"Fruktig smak med inslag av banan, aprikos, vetebröd, kryddor och citrus. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk och ljust kött, gärna med heta och asiatiska inslag.",https://www.systembolaget.se//dryck/ol/gotlands-bryggeri-8992303,1.044,49.8
139,Gotlands Bryggeri,88173,20.8,True,330,0.05,7,6,2,Amerikansk pale ale (APA),"Oklar, gulbrun färg. ",Gotlands Bryggeri ,"Nyanserad, något humlearomatisk smak med tydlig beska, inslag av tropisk frukt, ljust bröd, örter och grapefruktskal. Serveras vid 8-10°C som sällskapsdryck eller till rätter av ljust kött eller lammkött.",https://www.systembolaget.se//dryck/ol/gotlands-bryggeri-8817303,0.793,63.0
140,Gotlands Bryggeri,84923,17.9,True,330,0.047,5,5,1,Modern stil,Gulbrun färg. ,Gotlands Bryggeri ,"Maltig smak med inslag av sirapslimpa, aprikos, knäck och apelsinskal. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av ljust kött eller till vegetariska rätter.",https://www.systembolaget.se//dryck/ol/gotlands-bryggeri-8492303,0.866,54.2
141,Gotlands Bryggeri,1570,20.9,True,330,0.05,7,5,1,Pilsner - tysk stil,Gyllengul färg. ,Gotlands Bryggeri ,"Brödig, fruktig smak med inslag av aprikos, honung, örter och citrus. Serveras vid 8-10°C till husmanskost.",https://www.systembolaget.se//dryck/ol/gotlands-bryggeri-157003,0.789,63.3
142,Gotlands Bryggeri,1400,19.9,True,330,0.05,6,6,2,Belgisk ljus ale,"Något oklar, mörk, gul färg. ",Gotlands Bryggeri ,"Fruktig, balanserad smak med inslag av apelsin, aprikos och honung. Serveras vid 10-12°C som sällskapsdryck, eller till rätter av fisk eller ljust kött.",https://www.systembolaget.se//dryck/ol/gotlands-bryggeri-140003,0.829,60.3
143,Gotlands Bryggeri,89205,22.6,True,330,0.064,8,7,2,India pale ale (IPA),Gulbrun färg. ,Gotlands Bryggeri ,"Humlearomatisk smak med tydlig beska, inslag av apelsinskal, honung, örter och smörkola. Serveras vid 10-12°C till husmanskost eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/gotlands-bryggeri-8920503,0.935,68.5
144,Gotlands Bryggeri,81359,21.9,True,330,0.057,7,7,2,Amerikansk pale ale (APA),"Oklar, mörk, gul färg. ",Gotlands Bryggeri ,"Fruktig smak med tydlig beska, inslag av passionsfrukt, ananas, mango och apelsinmarmelad. Serveras vid 8-10°C till rätter av ljust kött, eller som sällskapsdryck.",https://www.systembolaget.se//dryck/ol/gotlands-bryggeri-8135903,0.859,66.4
145,Gotlands Bryggeri,89589,22.9,True,330,0.05,7,7,1,Torr porter och stout,"Mörk, brunsvart färg. ",Gotlands Bryggeri ,"Maltig, nyanserad smak med inslag av torkad frukt, kavring, mörk sirap, kaffe, kakao och lakrits. Serveras vid 10-12°C till rätter av mörkt kött, eller till smakrika rätter med svamp.",https://www.systembolaget.se//dryck/ol/gotlands-bryggeri-8958903,0.721,69.4
146,Gouden Carolus Hopsinjoor,1328,26.9,True,330,0.08,7,7,2,Belgisk ljus ale,"Något oklar, gul färg. ",Brouwerij Het Anker ,"Nyanserad smak med tydlig beska, inslag av ljust bröd, gula päron, tallkåda, kryddor och aprikos. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fläsk-, lamm- och nötkött.",https://www.systembolaget.se//dryck/ol/gouden-carolus-hopsinjoor-132803,0.981,81.5
147,Grolsch Premium Lager,1640,13.9,True,330,0.05,5,5,1,Internationell stil,"Mörk, gul färg. ",Grolsche Bierbrouwerij ,"Maltig smak med inslag av ljust bröd, apelsin, örter och honung. Serveras vid cirka 8°C som sällskapsdryck eller till rätter av ljust kött.",https://www.systembolaget.se//dryck/ol/grolsch-premium-lager-164003,1.187,42.1
148,Grosshandlarens,1564,15.9,False,500,0.057,6,6,2,Märzen och wienerstil,Brungul färg. ,Beer & Spiritpartners Nordic ,"Maltig smak med inslag av rågbröd, knäck, torkad frukt och apelsin. Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fläsk- och lammkött.",https://www.systembolaget.se//dryck/ol/grosshandlarens-156412,1.792,31.8
149,Grünbacher,1267,22.9,True,500,0.051,3,5,2,Hefeweizen,"Oklar, gul färg. ",Schlossbraueri Grünbach ,"Fruktig smak med inslag av banan, ljust bröd, kryddnejlika, honung och citrus. Serveras vid 6-8°C som sällskapsdryck eller till rätter av fisk och ljust kött, gärna med heta eller asiatiska inslag.",https://www.systembolaget.se//dryck/ol/grunbacher-126701,1.114,45.8
150,Guayabera,12314,24.9,False,355,0.055,6,7,2,Amerikansk pale ale (APA),"Mörk, gul färg. ",Cigar City Brewing ,"Humlearomatisk smak med inslag av ananas, passionsfrukt, knäckebröd och apelsinblommor. Serveras vid 8-10°C som sällskapsdryck eller till rätter av fläsk- eller lammkött.",https://www.systembolaget.se//dryck/ol/guayabera-1231415,0.784,70.1
151,Guinness,1260,23.9,False,440,0.042,7,6,1,Torr porter och stout,Brunsvart färg. ,Guinness ,"Maltig, rostad smak inslag av charkuterier, lakrits, kaffe, mörkt bröd och pomerans. Innehåller gaspatron. Serveras väl kyld till smakrika rätter av mörkt kött.",https://www.systembolaget.se//dryck/ol/guinness-126015,0.773,54.3
152,Guinness,1561,19.9,True,330,0.05,7,8,1,Torr porter och stout,"Tät, mörk, brunsvart färg. ",Guinness ,"Smakrik, rostad öl med tydlig beska, inslag av kaffe, soja, pumpernickel, charkuterier, apelsinskal och lakrits. Serveras vid 14-16°C till smakrika rätter av mörkt kött eller till ostron.",https://www.systembolaget.se//dryck/ol/guinness-156103,0.829,60.3
153,Guldkällan,1499,10.9,False,330,0.057,5,6,1,Internationell stil,Gul färg. ,Spendrups ,"Maltig smak med inslag av ljust bröd, timjan och citrus. Serveras vid cirka 8°C till inte alltför kraftiga rätter av fisk eller kött.",https://www.systembolaget.se//dryck/ol/guldkallan-149912,1.726,33.0
154,Guldkällan,1472,9.9,False,330,0.048,5,6,1,Internationell stil,Gyllengul färg. ,Spendrups ,"Maltig smak med inslag av knäckebröd, citrus och humle. Serveras vid cirka 8°C till inte alltför kraftiga rätter av fisk eller kött.",https://www.systembolaget.se//dryck/ol/guldkallan-147212,1.6,30.0
